"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"77","REAL SHIPPING -MARCELA","JOFFROY","7784019","SSA","FE9713A","27/6/2022","6:00","503 KG","CARGA SUELTA","22-16-3714-2000158","DEMATIC","MANZANILLO","MONTERREY","JORGE","FE9713A","670","------","ENTREGADO","29/06/2022","S 049","","","","","","","","","","","","","","","",""
"78","REAL SHIPPING - MONI","JOFFROY","529574V","TIMSA","38AV7C","30/672022","7:00","40 DC / 22829 KG","HMCU1018827","22-16-3714-2000163","DEMATIC","MANZANILLO","MONTERREY","PABLO","38AV7C","674","CIMA","ENTREGADO","04/07/2022","S 051","","","","","","","","","","","","","","","",""
"79","WELLINGTON","RB GROUP","4651575","SSA","19AT6G","2/7/2022","6:30","20 DC/ 2717 KG","PCIU0131042","22-16-3708-2000749","ARGO","MANZANILLO","QUERETARO","TOÑO","19AT6G","675","IMPALA","ENTREGADO","04/07/2022","I 187","","","","","","","","","","","","","","","",""
"80","LOGISTIC PLUS - DIEGO","WELLDEX","2726812","CONTECON","67AX9X","5/7/2022","6:00","45 G0 / 18560 KG","FCIU7031261","22-16-3200-2008741","KARCHER","MANZANILLO","MONTERREY","TOÑO","19AT6G","691","CIMA","ENTREGADO","16/07/2022","S 64","","","","","","","","","","","","","","","",""
"81","LOGISTIC PLUS - DIEGO","WELLDEX","","SSA","71AT4L","5/7/2022","6:30","40 HC / 17400 KG","HMMU6057636","22-16-3200-2008830","KARCHER","MANZANILLO","MONTERREY","EDUARDO GLEZ","21AN7K","693","TIMSA","ENTREGADO","18/07/2022","S 67","","","","","","","","","","","","","","","",""
"82","LOGISTIC PLUS - DIEGO","UNITRADE","4655794","SSA","19AT6G","6/7/2022","5:00","20 DC / 6840 KG","CNIU1203655","22-16-3451-2005837","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","676","CIMA","ENTREGADO","07/07/2022","S 054","","","","","","","","","","","","","","","",""
"83","LOGISTIC PLUS - CYNTHIA","RB GROUP","4658913","SSA","16AT6G","6/7/2022","13:00","40 HC / 7530 KG","TGBU6169689","22-16-3171-2001449","THERMOTEK","MANZANILLO","ABASOLO/ NL","FIDEL","64AK5A","687","SSA","ENTREGADO","14/07/2022","S 63","","","","","","","","","","","","","","","",""
"84","LOGISTIC PLUS -  DIEGO","DEL GOLFO","531156V","TIMSA","38AV7C","6/7/2022","15.00","40 DC / 4120 KG","UETU5419007","22-16-1798-2002568","PLASTIC OMNIUM","MANZANILLO","LEON","PABLO","38AV7C","677","CIMA","ENTREGADO","06/07/2022","S 055","","","","","","","","","","","","","","","",""
"85","WELLINGTON","RB GROUP","3469963","OCUPA","93AP1E","7/7/2022","13:00","4615 KG","CARGA SUELTA","22-16-3708-2000771","ARGO","MANZANILLO","QUERETARO","JORGE","93AP1E","679","------","ENTREGADO","07/07/2022","S 057","","","","","","","","","","","","","","","",""
"86","LOGISTIC PLUS -  DIEGO","WELLDEX","531148V","TIMSA","64AK5A","7/7/2022","14:00","40 HC / 18753 KG","TCNU3812894","22-16-3200-2009151","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","702-1","ISL","ENTREGADO","29/07/2022","S 77","","","","","","","","","","","","","","","",""
"87","LOGISTIC PLUS - DIEGO","WELLDEX","531360V","TIMSA","109EN4","7/7/2022","9:00","40 HC / 19958 KG","EITU1110285","22-16-3200-2009249","KARCHER","MANZANILLO","MONTERREY","PABLO","38AVTC","701","ISL","ENTREGADO","25/07/2022","I 196","","","","","","","","","","","","","","","",""
"88","LOGISTIC PLUS - CYNTHIA","NAD GLOBAL","3471393","OCUPA","64AK5A","8/7/2022","12:00","40 DC / 19290 KG","CSNU4002531","22-16-3949-2006039","NAVISTAR","MANZANILLO","NUEVO LEON","FIDEL","64AK5A","680","TIMSA","ENTREGADO","11/07/2022","I 188","","","","","","","","","","","","","","","",""
"89","LOGISTIC PLUS - DIEGO","UNITRADE","7808071","SSA","19AT6G","9/7/2022","8.00","6610 KG","CARGA SUELTA","22-16-3451-2006048","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","681","------","ENTREGADO","14/07/2022","S 58","","","","","","","","","","","","","","","",""
"90","LOGISTIC PLUS - DIEGO","DEL GOLFO","532580V","TIMSA","83AL2K","13/7/2022","15:00","40 HC/3719 KG/ 4130 KG","OOCU8403831/TCKU7873888","22-16-1798-2002647","PLASTIC OMNIUM","MANZANILLO","LEON","PABLO","38AV7C","704-2","CIMA","ENTREGADO","31/07/2022","S 79/ 80","","","","","","","","","","","","","","","",""
"92","REAL SHIPPING - MONI","JOFFROY","55602","MULTIMODAL","38AV7C","12/7/2022","7:00","10506 KG","CARGA SUELTA","22-16-3714-2000172","DEMATIC","MANZANILLO","MONTERREY","EDUARDO GLEZ","21AN7K","CTA TERCEROS 682","------","ENTREGADO","14/07/2022","S 59","","","","","","","","","","","","","","","",""
"91","LOGISTIC PLUS- DIEGO","DEL GOLFO","532003V","TIMSA","19AT6G","12/7/2022","13:00","40HC/3674 KG/3977 KG","CSLU6047800/TRHU5343906","22-16-1798-2002646","PLASTIC OMNIUM","MANZANILLO","LEON","PABLO","38AV7C","714-2","CIMA","ENTREGADO","06/08/2022","S 92/ 93","","","","","","","","","","","","","","","",""
"93","LOGISTIC PLUS - DIEGO","WELLDEX","4669997","SSA","38AV7C","12/7/2022","14.00","20 DC / 1800 KG","PCIU1263589","22-16-3200-2009077","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","702-2","IMPALA","ENTREGADO","27/07/2022","S 76","","","","","","","","","","","","","","","",""
"94","DAYSI REYES","CORP. ROBLES","4670239","SSA","19AT6G","13/7/2022","4.00","40 HC / 4736 KG","BEAU5931528","22-16-1742-2002126","DAYSI REYES","MANZANILLO","QUIROGA","TOÑO","19AT6G","685","","ENTREGADO","14/07/2022","I 189","","","","","","","","","","","","","","","",""
"95","LOGISTIC PLUS - DIEGO","UNITRADE","2737598","CONTECON","09AT3M","12/7/2022","14:00","40 HC / 6894 KG","SLVU4757240","22-16-3451-2006409","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","688-1","CIMA","ENTREGADO","14/07/2022","I 191","","","","","","","","","","","","","","","",""
"96","WELLINGTON","RB GROUP","3478293","OCUPA","FE9713A","13/7/2022","11:00","552 KG","CARGA SUELTA","22-16-3708-2000805","ARGO","MANZANILLO","QUERETARO","RUBEN","FE9713A","684","------","ENTREGADO","14/07/2022","S 61","","","","","","","","","","","","","","","",""
"97","LOGISTIC PLUS - DIEGO","DEL GOLFO","532542V","TIMSA","64AK5A","13/7/2022","13:00","40 HC/ ","CSLU6048452/FCIU9535301","22-16-1798-2002643","PLASTIC OMNIUM","MANZANILLO","LEON","PABLO","38AV7C","692-1/692-2","CIMA","ENTREGADO","16/07/2022","S 65/ 66","","","","","","","","","","","","","","","",""
"98","LOGISTIC PLUS - DIEGO","DEL GOLFO","532544V","TIMSA","38AV7C","13/7/2022","13:00","40 HC / 3470 KG/ 3320KG","CCLU7416080/TGBU4873580","22-16-1798-2002644","PLASTIC OMNIUM","MANZANILLO","LEON"," PABLO","38AV7C","694  /699","CIMA ","ENTREGADO","19 JUL /  22 JUL","S 68","","","","","","","","","","","","","","","",""
"99","LOGISTIC PLUS - DIEGO","DEL GOLFO","532545V","TIMSA","FC7987A","13/7/2022","13:00","40 HC /3965 KG","CSLU6186261","22-16-1798-2002645","PLASTIC OMNIUM","MANZANILLO","LEON","FIDEL","64AK5A","695","CIMA","ENTREGADO","18/07/2022","S 70","","","","","","","","","","","","","","","",""
"100","LOGISTIC PLUS - DIEGO","UNITRADE","2738045","CONTECON","-----","13/7/2022","14:00","40 HC / 13672 KG","BURU6691273","22-16-3451-2006412","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","688-2","CIMA","ENTREGADO","14/07/2022","I 192","","","","","","","","","","","","","","","",""
"101","REAL SHIPPING - MONI","JOFFROY","555481B","TIMSA","07AX1Y","13/7/2022","10:00","7353 KG","CARGA SUELTA","22-16-3714-2000176","DEMATIC","MANZANILLO","MONTERREY","JORGE","07AX1Y","683","-----","ENTREGADO","14/07/2022","S 60","","","","","","","","","","","","","","","",""
"102","ONEBOX","WOODWARD","2738363","CONTECON","-----","13/7/2022","15.00","42 G1/5690 KG","KKFU1861233","22-16-3719-2020810","PANASONIC","MANZANILLO","APODACA/ NL","FIDEL","64AK5A","686","SSA","ENTREGADO","14/7/2022","S 62","","","","","","","","","","","","","","","",""
"103","LOGISTIC PLUS - DIEGO","UNITRADE","2738925","CONTECON","348EV3","14/7/2022","6:00","40 HC/ 11680 KG","SLVU4644476","22-16-3451-2006411","DAIKIN","MANZANILLO","SAN LUIS POTOSI","RODRIGO SERRATOS","418AF4","CTA TERCEROS 698","CONTECON","ENTREGADO","19/07/2022","S 73","","","","","","","","","","","","","","","",""
"104","LOGISTIC PLUS - DIEGO","UNITRADE","7816567","SSA","93AP1E","14/7/2022","11:00","578 KG","CARGA SUELTA","22-16-3451-2006435","DAIKIN","MANZANILLO","SAN LUI POTOSI","MOISES","93AP1E","689","------","ENTREGADO","15/07/2022","I 193","","","","","","","","","","","","","","","",""
"105","WELLINGTON","RB GROUP","426855","LA JUNTA","FE2507A","14/7/2022","14:00","807 KG","CARGA SUELTA","22-16-3708-2000812","ARGO","MANZANILLO","QUERETARO","JESUS ANTONIO","FE2507A","CTA TERCEROS 690","-----","ENTREGADO","15/07/2022","S 71","","","","","","","","","","","","","","","",""
"106","LOGISTIC PLUS - DIEGO","WELLDEX","4675494","SSA","598AS3","14/7/2022","17:00","40 HC / 17560 KG","BSIU9532402","22-16-3200-2009696","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","731-1","TIMSA","ENTREGADO","18/08/2022","S 113","","","","","","","","","","","","","","","",""
"107","REAL SHIPPING - MONI","JOFFROY","55819","MULTIMODAL","RR8839A","15/7/2022","11:00","7030 KG","CARGA SUELTA","22-16-3714-2000168","DEMATIC","MANZANILLO","MONTERREY","JORGE","07AX1Y","696","-----","ENTREGADO","18/07/2022","S 69","","","","","","","","","","","","","","","",""
"108","LOGISTIC PLUS - DIEGO","UNITRADE","427094","LA JUNTA","07AX1Y","16/7/2022","9:00","3365 KG","CARGA SUELTA","22-16-3451-2006410","DAIKIN","MANZANILLO","SAN LUIS POTOSI","CHOLULO","93AP1E","697","-----","ENTREGADO","18/07/2022","S 72","","","","","","","","","","","","","","","",""
"109","LOGISTIC PLUS - DIEGO","WELLDEX","4685252","SSA","23AK6E","19/07/2022","12:00","20 DC / 13880 KG","MSMU1466387","22-16-3200-2009119","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C","737","ISL","ENTREGADO","26/08/2022","S 121","","","","","","","","","","","","","","","",""
"110","LOGISTIC PLUS - DIEGO","WELLDEX","3489947","OCUPA","64AK5A","20/07/2022","18:00","40 HC /33898 KG","WHLU5696612/WHSU5665026","22-16-3200-2009116","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C","722-2","ALMAN","ENTREGADO","12/08/2022","S 102/103","","","","","","","","","","","","","","","",""
"111","LOGISTIC PLUS - DIEGO","WELLDEX","3489955","OCUPA","418AF4","20/07/2022","18.00","40 HC/  16949 KG","WHSU6656013","22-16-3200-2009179","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","711-1","ALMAN","ENTREGADO","04/08/2022","S 86","","","","","","","","","","","","","","","",""
"112","LOGISTIC PLUS - DIEGO","WELLDEX","3489949","OCUPA","38AV7C","20/07/2022","18:00","40 HC /15024 KG","WHSU6265657","22-16-3200-2009113","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","711-2","ALMAN","ENTREGADO","04/08/2022","S 87","","","","","","","","","","","","","","","",""
"113","LOGISTIC PLUS - DIEGO","WELLDEX","4689010","SSA","38AV7C","21/7/2022","12.00","40 HC / 11106 KG","PCIU8734227","22-16-3200-2010045","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C","739","IMPALA","ENTREGADO","26/08/2022","S 122","","","","","","","","","","","","","","","",""
"114","REAL SHIPPING - MONI","JOFFROY","557091B","TIMSA","05AN3N","21/7/2022","14:00","304.4 KG","CARGA SUELTA","22-16-3714-2000178","DEMATIC","MANZANILLO","MONTERREY","JORGE","FE9713A","700","-----","ENTREGADO","24/07/2022","S 75","","","","","","","","","","","","","","","",""
"115","LOGISTIC PLUS - DIEGO","UNITRADE","3501339","OCUPA","38AV7C","28/07/2022","8:00","40 HC / 14249 KG","CSNU6048233","22-16-3451-2006573","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","703","CIMA","ENTREGADO","29/07/2022","S 78","","","","","","","","","","","","","","","",""
"116","LOGISTIC PLUS - DIEGO","UNITRADE","3504775","OCUPA","22AH1B","30/07/2022","6:00","40 HC / 10592 KG","TCNU3042978","22-16-3451-2006673","DAIKIN","MANZANILLO","SAN LUIS POTOSI","FIDEL","64AK5A","705-1","ALMAN","ENTREGADO","01/08/2022","S 82","","","","","","","","","","","","","","","",""
"117","LOGISTIC PLUS- CYNTHIA","RB GROUP","4707394","SSA","23AK6E","30/07/2022","8:30","40 HC / 7530 KG","TCKU7647263","22-16-3171-2001450","THERMOTEK","MANZANILLO","","FIDEL","64AK5A","731-2","ALSECONT","ENTREGADO","18/08/2022","S 114","","","","","","","","","","","","","","","",""
"118","LOGISTIC PLUS - DIEGO","UNITRADE","4708112","SSA","64AK5A","30/07/2022","11:00","20 DC / 13211KG","WNGU2186581","22-16-3451-2007060","DAIKIN","MANZANILLO","SAN LUIS POTOSI","FIDEL","64AK5A","705-2","CONTECON","ENTREGADO","01/08/2022","S 81","","","","","","","","","","","","","","","",""
"119","LOGISTIC PLUS -  DIEGO","UNITRADE","","SSA","511ES9","02/07/2022","7:00","7317 KG","CARGA SUELTA ","22-16-3451-2006355","DAIKIN","MANZANILLO","SAN LUIS POTOSI","GREGORIO","511ES9"," CTA TERCEROS 709","-----","ENTREGADO","03/08/2022","I 198","","","","","","","","","","","","","","","",""
"120","REAL SHIPPING - MONI","JOFFROY","559098B","TIMSA","93AP1E","01/08/2022","12:00","4845 KG","CARGA SUELTA","22-16-3714-2000177","DEMATIC","MANZANILLO","MONTERREY","RUBEN","93AP1E","707","-----","ENTREGADO","02/08/2022","S 84","","","","","","","","","","","","","","","",""
"121","REAL SHIPPING - MONI","JOFFROY","559202B","TIMSA","07AX1Y","01/08/2022","16:00","6566 KG","CARGA SUELTA","22-16-3714-2000191","DEMATIC","MANZANILLO","MONTERREY","JORGE","07AX1Y","706","-----","ENTREGADO","02/08/2022","S 83","","","","","","","","","","","","","","","",""
"122","LOGISTIC PLUS - DIEGO","UNITRADE","536022V","TIMSA","38AV7C","03/08/2022","8.00","40 HC / 2289 KG","BMOU5043326","22-16-3451-2007101","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","712-1","CIMA","ENTREGADO","04/08/2022","S 88","","","","","","","","","","","","","","","",""
"123","WELLINGTON","RB GROUP","4714883","SSA","38AV7C","02/08/2022","17:00","40 HC / 2523.2 KG","WHSU6337295","22-16-3708-2000876","ARGO","MANZANILLO","QUERETARO","TOÑO","38AV7C","710","ALMAN","ENTREGADO","03/08/2022","S 85","","","","","","","","","","","","","","","",""
"124","ONEBOX","AEROCARGA","4718820","SSA","80AR8M","03/08/2022","16:00","40 FH / 20080 KG","MAEU3451113","22-16-1625-2003760","ANDRITZ","MANZANILLO","MICHOACAN","LIGGET","80AR8M","CTA TERCEROS 708","ALSECONT","ENTREGADO","02/08/2022","S 91","","","","","","","","","","","","","","","",""
"125","LOGISTIC PLUS - DIEGO","UNITRADE","2763065#1","CONTECON","38AV7C","03/08/2022","15.00","40 HC / 6768 KG","FFAU3637124","22-16-3451-2007099","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","712-2","SSA","ENTREGADO","04/08/2022","S 89","","","","","","","","","","","","","","","",""
"126","LOGISTIC PLUS - DIEGO","UNITRADE","4718700","SSA","19AT6G","04/08/2022","10:00","40 HC /  2289 KG","TRHU6817614","22-16-3451-2006669","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","713","ALSECONT","ENTREGADO","05/08/2022","S 90","","","","","","","","","","","","","","","",""
"127","LOGISTIC PLUS - CYNTHIA","RB GROUP","2766781","CONTECON","UK34796","04/08/2022","10:00","40 HC / 21340 KG","CSNU6129274","22-16-3171-2001635","THERMOTEK","MANZANILLO","ABASOLO NL","EDUARDO GLEZ","21AN7K","CTA TERCEROS 719","CIMA","ENTREGADO","08/08/2022","S 98","","","","","","","","","","","","","","","",""
"128","REAL SHIPPING - MONI","JOFFROY","435513","LA JUNTA","FF7640A","04/08/2022","15:00","614 KG","CARGA SUELTA","22-16-3714-2000196","DEMATIC","MANZANILLO","MONTERREY","JORGE","07AX1Y","717","-----","ENTREGADO","07/08/2022","S 95","","","","","","","","","","","","","","","",""
"129","LOGISTIC PLUS - DIEGO","DEL GOLFO","1477748","SSA","188EW8","05/08/2022","9:00","40HC/3200 KG/3200 KG","TCNU1044436/TCNU2880261","22-16-1798-2002990","PLASTIC OMNIUM","MANZANILLO","LEON","FIDEL","64AK5A","723","ALSECONT","ENTREGADO","12/08/2022","S 104/105","","","","","","","","","","","","","","","",""
"130","LOGISTIC PLUS - DIEGO","UNITRADE","435309","LA JUNTA","511ES9","05/08/2022","9.00","3904 KG","CARGA SUELTA","22-16-3451-2006576","DAIKIN","MANZANILLO","SAN LUIS POTOSI","GREGORIO","511ES9","CTA TERCEROS 715","-----","ENTREGADO","06/08/2022","I 200","","","","","","","","","","","","","","","",""
"131","LOGISTIC PLUS - DIEGO","UNITRADE","2770296","CONTECON","598A53","05/08/2022","8.00","40 HC / 8956 KG","TLLU5607821","22-16-3451-2006715","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","718-1","SSA","ENTREGADO","08/08/2022","S 96","","","","","","","","","","","","","","","",""
"132","LOGISTIC PLUS - DIEGO","UNITRADE","2768977","CONTECON","23AK6E","05/08/2022","13.00","40 HC / 11777 KG","TCNU4977414","22-16-3451-2006671","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","718-2","SSA","ENTREGADO","08/08/2022","S 97","","","","","","","","","","","","","","","",""
"133","LOGISTIC PLUS - DIEGO","UNITRADE","2768988","CONTECON","13AV5C","05/08/2022","13:00","20 / 17430 KG","VOLU2027896","22-16-3451-2006354","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","16AT6G","716","SAPI","ENTREGADO","06/08/2022","S 94","","","","","","","","","","","","","","","",""
"134","LOGISTIC PLUS - DIEGO","UNITRADE","1478990","SSA","83AL2K","06/08/2022","12.00","40HC/2289KG /2289KG","CAAU6047386 / MRKU4485916","22-16-3451-2007529","DAIKIN","MANZANILLO","SAN LUIS POTOSI","FIDEL","64AK5A","720-2","ALSECONT","ENTREGADO","09/08/2022","S 99/100","","","","","","","","","","","","","","","",""
"135","WELLINGTON","RB GROUP","538064V","TIMSA","19AT6G","15/08/2022","8:00","40 DC / 11596","YMMU4015048","22-16-3708-2000888","ARGO","MANZANILLO","QUERETARO","ANTONIO","19AT6G","727","TIMSA","ENTREGADO","16/08/2022","S 109","","","","","","","","","","","","","","","",""
"136","WELLINGTON","RB GROUP","438150","LA JUNTA","93AP1E","10/08/2022","12.00","1502.500 KG","CARGA SUELTA","22-16-3708-2000899","ARGO","MANZANILLO","QUERETARO","JORGE","93AP1E","721","-----","ENTREGADO","11/08/2022","S 101","","","","","","","","","","","","","","","",""
"137","REAL SHIPPING - MONI","JOFFROY","57324","MULTIMODAL","FF2276A","11/08/2022","9.00","580 KG","CARGA SUELTA","22-16-3714-2000201","DEMATIC","MANZANILLO","MONTERREY","JORGE","FE9713A","726","-----","ENTREGADO","15/08/2022","S 108","","","","","","","","","","","","","","","",""
"138","LOGISTIC PLUS - MIGUEL","RB GROUP","2778208","CONTECON","13AV5C","12/08/2022","8:00","20DC/20620 KG/20620 KG","BURU3214528 / BURU3214277","22-16-3171-2001678","THERMOTEK","MANZANILLO","ABASOLO NL","FIDEL / PABLO","64AK5A / 38AV7C","724 - 725","CIMA","ENTREGADO","14/08/2022","S 106/ 107","","","","","","","","","","","","","","","",""
"139","LOGISTIC PLUS - DIEGO","UNITRADE","2780324","CONTECON","FC7987A","16/08/2022","7:00","45 G0/ 4578 KG","SLVU4708190 / SLVU4709263","22-16-3451-2006760","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","729-2","CIMA","ENTREGADO","18/08/2022","S 111/ 112","","","","","","","","","","","","","","","",""
"140","LOGISTIC PLUS - DIEGO","UNITRADE","441374","LA JUNTA","23AR7M","16/08/2022","12:00","7145 KG","CARGA SUELTA","22-16-3451-2007066","DAIKIN","MANZANILLO","SAN LUIS POTOSI","MIGUEL MARTIN","69AV7C/PLANA 07UL3E","CTA TERCEROS 728","-----","ENTREGADO","18/08/2022","S 110","","","","","","","","","","","","","","","",""
"141","LOGISTIC PLUS - DIEGO","UNITRADE","538762V","TIMSA","19AT6G","18/08/2022","12:00","40 HC / 12592 KG","TGBU8785791","22-16-3451-2007069","DAIKIN","MANZANILLO","SAN LUIS POTOSI","ANTONIO","19AT6G","732","CIMA","ENTREGADO","19/08/2022","S 115","","","","","","","","","","","","","","","",""
"142","WELLINGTON","RB GROUP","562715B","TIMSA","93AP1E","18/08/2022","13:30","1537 KG","CARGA SUELTA","22-16-3708-2000925","ARGO","MANZANILLO","QUERETARO","JORGE","93AP1E","733","-----","ENTREGADO","19/08/2022","S 116","","","","","","","","","","","","","","","",""
"143","LOGISTIC PLUS - DIEGO","WELLDEX","1485215","SSA","64AK5A","17/08/2022","15:00","40 HC/15623 KG /15623 KG","TEMU7013772/ YMMU6270248","22-16-3200-2011716","KARCHER","MANZANILLO","MONTERREY","FIDEL /TOÑO","64AK5A/ 19AT6G","749-1/ 753","ALMAN/ALMAN","ENTREGADO","01/09 -05/09","S 131/  137","","","","","","","","","","","","","","","",""
"144","LOGISTIC PLUS - JORGE","GTS","3533877","FRIGORIFICO","17AN3V","17/08/2022","16:00","966.960 KG","CARGA SUELTA","22-16-1681-2000530","HYUNDAI","MANZANILLO","NUEVO LEON ","SALVADOR","17AN3V","CTA TERCEROS 730","-----","ENTREGADO","18/08/2022","I 201","","","","","","","","","","","","","","","",""
"145","LOGISTIC PLUS - DIEGO","WELLDEX","4755181","SSA","38AV7C","22/08/2022","8:00","40 HC / 4118 KG","SEKU5734757","22-16-3200-2011787","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","736","SSA","ENTREGADO","25/08/2022","S 119","","","","","","","","","","","","","","","",""
"146","LOGISTIC PLUS - DIEGO","WELLDEX","4751680","SSA","21AN7K","19/08/2022","9.30","20 DC / 5180 KG","TEMU5640080","22-16-3200-2011757","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","749-2","ALMAN","ENTREGADO","01/09/2022","S 132","","","","","","","","","","","","","","","",""
"147","LOGISTIC PLUS - DIEGO","UNITRADE","539739V","TIMSA","38AV7C","22/08/2022","6:00","40 HC / 13783 KG","MAGU5582906","22-16-3451-2007664","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","735","TIMSA","ENTREGADO","23/08/2022","S 117","","","","","","","","","","","","","","","",""
"148","LOGISTIC PLUS -DIEGO","UNITRADE","444958","LA JUNTA","23AR7M","22/08/2022","13.00","7616 KG","CARGA SUELTA","22-16 3451-2007662","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PEDRO PABLO","23AR7M","CTA TERCEROS 734","-----","ENTREGADO","23/08/0202","S 118","","","","","","","","","","","","","","","",""
"149","LOGISTIC PLUS - DIEGO","WELLDEX","2788089","CONTECON","64AK5A","23/08/2022","12:00","40 HC / 18560 KG","OOLU9973795","22-16-3200-2011895","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C","762-2","TIMSA","ENTREGADO","19/09/2022","S 134","","","","","","","","","","","","","","","",""
"150","LOGISTIC PLUS - DIEGO","WELLDEX","2788093","CONTECON","19AT6G","23/08/2022","12:00","40 HC / 18560 KG","BEAU6202217","22-16-3200-2011913","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C","765","TIMSA","ENTREGADO","23/09/2022","S 158","","","","","","","","","","","","","","","",""
"151","LOGISTIC PLUS - DIEGO","UNITRADE","2788563","CONTECON","19AT6G","24/08/2022","10:00","45 G0 / 2289 KG ","VOLU4957551","22-16-3451-2007531","DAIKIN","MANZANILLO","SAN LUIS POTOSI","ANTONIO","19AT6G","738","CIMA","ENTREGADO","25/08/2022","S 120","","","","","","","","","","","","","","","",""
"152","REAL SHIPPING - MONI","JOFFROY","2788861#1","CONTECON","19AT6G","30/08/2022","11:00","20 DC /17728 KG","EGHU3703165","22-16-3714-2000212","DEMATIC","MANZANILLO","MONTERREY"," PABLO","38AV7C","747","CIMA","ENTREGADO","01/09/2022","S 129","","","","","","","","","","","","","","","",""
"153","WELLINGTON","RB GROUP","564470B","TIMSA","FE9713A","25/08/2022","8:00","40 KG","CARGA SUELTA","22-16-3708-2000944","ARGO","MANZANILLO","QUERETARO","RUBEN","FE9713A","740","-----","ENTREGADO","26/08/2022","S 133","","","","","","","","","","","","","","","",""
