"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"38","LOGISTIC PLUS - DIEGO","","","","","","","12592 KG","IMTU9096782","EGLV143251168621","DAIKIN","LAZARO CARDENAS","SAN LUIS POTOSI","","","CTA TERCEROS 630","HPH","ENTREGADO","29/05/2022","S 010","","","","","","","","","","","","","","","",""
"39","LOGISTIC PLUS - DIEGO","","","","","","","22989 KG","TXGU6134638","EGLV143251169279","DAIKIN","LAZARO CARDENAS","SAN LUIS POTOSI","","","CTA TERCEROS 629","HPH","ENTREGADO","29/05/2022","I 176","","","","","","","","","","","","","","","",""
"40","WELLINGTON","RB GROUP","3411684","OCUPA","JX55120","25/5/2022","13.00","885 KG","CARGA SUELTA","22-16-3708-2000614","ARGO","MANZANILLO","QUERETARO","CESAR DANIEL","FE2065A","CTA TERCEROS 632","----","ENTREGADO","27/05/2022","S 011","","","","","","","","","","","","","","","",""
"41","LOGISTIC PLUS - CYNTHIA","A.A CONSOL","2667672","CONTECON","64AK5A","25/5/2022","17:00","22 G0 / 17,452 KG","TEMU2771044","22-16-3910-2003644","CARRIER","MANZANILLO","MONTERREY","FIDEL","64AK5A","636","CIMA","ENTREGADO","02/06/2022","S 015","","","","","","","","","","","","","","","",""
"42","LOGISTIC PLUS - DIEGO","WELLDEX","1440514","SSA","188EW8","26/5/2022","9:00","40 HC/40 HC","HMMU6500127/KOCU4734950","22-16-3200-2007373","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","673","TIMSA","ENTREGADO","03/07/2022","S 52/ 53","","","","","","","","","","","","","","","",""
"43","REAL SHIPPING - MONI","JOFFROY","200809","HAZESA","387CG6","28/5/2022","11:00","4596 KG","CARGA SUELTA","22-16-3714-2000137","DEMATIC","MANZANILLO","MONTERREY","ARIEL ORTIZ","01AL2W","CTA TERCEROS 635","------","ENTREGADO","29/05/2022","S 014","","","","","","","","","","","","","","","",""
"44","LOGISTIC PLUS - SERGIO","UNITRADE","2671466","CONTECON","38AV7C","28/5/2022","8:00","45 G0/9928 KG","CBHU7022148","22-16-3451-2004781","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","634","CIMA","ENTREGADO","30/05/2022","S 013","","","","","","","","","","","","","","","",""
"45","LOGISTIC PLUS - CYNTHIA","RB GROUP","2673804","CONTECON","188EW8","30/5/2022","6:00","40 HC/ 7530 KG","TCNU6408823","22-16-3171-2001181","THERMOTECK","MANZANILLO","MONTERREY","FIDEL","64AK5A","637","CIMA","ENTREGADO","02/06/2022","S 016","","","","","","","","","","","","","","","",""
"46","LOGISTIC PLUS- DIEGO","UNITRADE","4596160","SSA","511ES9","1/6/2022","4.00","40 HC/ 14784 KG","TLLU5645842","22-16-3451-2004993","DAIKIN","MANZANILLO","SAN LUIS POTOSI","GREGORIO","511ES9","CTA TERCEROS 639","SSA","ENTREGADO","01/05/2022","S 018","","","","","","","","","","","","","","","",""
"47","LOGISTIC PLUS - DIEGO","UNITRADE","7747379","SSA","07AX1Y","1/6/2022","8:00","3047 KG","CARGA SUELTA","22-16-3451-2004984","DAIKIN","MANZANILLO","SAN LUIS POTOSI","JORGE","07AX1Y","638","------","ENTREGADO","02/05/2022","S 017","","","","","","","","","","","","","","","",""
"48","LOGISTIC PLUS - DIEGO","WELLDEX","2676100","CONTECON","38AV7C","1/6/2022","13:00","40 HC/15057 KG","EGHU8217649","22-16-3200-2007775","KARCHER","MANZANILLO","MONTERREY","PABLO","38AV7C","678","ISL","ENTREGADO","08/07/2022","S 056","","","","","","","","","","","","","","","",""
